year,Dev_Year,Res_Dummy,Price_OEA,Inc_CostSqFt,Inc_UnitFee1000,Price_Zillow,RentComm_YrEnd,RentComm_Avg,Constr_Index,Bldg_Index,Permits_MSA_Tot,Permits_MSA_5Plus,SFCity_UnempRate,SFCity_Emp,SFMSA_UnempRate,SFMSA_Emp,DJ_TSM,SP500,NASDAQ,Conf_CB,Conf_UM,IntRate_10yr,IntRate_Mortg
2001,0,0,50.561216064,0,0,49.021000468,93.5556,98.6214825,7399.07,4025.65,17323,7955,5.1,445193,4.4,2186081,35.4339349,1148.079956,1950.400024,94.6,88.8,5.09,7.07
2002,0,0,53.644685261,28.046393194,29.23575,52.208196801,97.52959,96.96121,7644.46,4093.21,16914,5703,6.9,417259,6.2,2103900,28.0425057,879.820007,1335.51001,80.7,86.7,4.03,6.05
2003,0,0,54.746212228,26.674753692,29.23575,55.933721812,85.5927,89.0437,7788.8,4113.11,21931,10129,6.7,400587,6.3,2051117,36.9153462,1111.920044,2003.369995,91.7,92.6,4.27,5.88
2004,0,0,60.970784125,25.900682051,29.23575,64.821391099,1	05.0989,97.618865,8228.39,4521.51,20731,9292,5.8,394397,5.5,2040353,41.57553,1211.920044,2175.439941,102.7,97.1,4.23,5.75
2005,0,0,70.412461675,32.254785864,29.23575,74.219140934,119.2056,113.8927,8308.5883333,4620.2233333,20619,9499,5,392747,4.8,2043849,44.204103,1248.290039,2205.320068,103.8,91.5,4.47,6.27
2006,0,0,72.87180959,42.041452481,50.1826,75.060935255,127.2001,121.758725,8618.0266667,4858.7075,20633,12112,4.2,398293,4.2,2064760,51.221926,1418.300049,2415.290039,110,91.7,4.56,6.14
2007,0,0,73.648330662,70.421321025,68.6512,77.78405514,169.0764,154.379075,9095.5975,5047.6108333,14754,7354,4.2,414199,4.4,2097061,54.159184,1468.359985,2652.280029,90.6,75.5,4.1,6.1
2008,0,0,67.959258565,71.251364718,66.8956,74.124711466,138.1511,155.066275,9363.0683333,5319.1758333,11045,4483,5.3,432981,5.7,2113687,33.938118,903.25,1577.030029,38.6,60.1,2.42,5.33
2009,0,0,58.880187818,56.846630164,66.8956,67.70512179,94.36742,105.3436575,9737.8783333,5479.2683333,4644,1547,8.7,419546,9.4,2040528,43.9211329,1115.099976,2269.149902,53.6,72.5,3.59,4.93
2010,0,0,60.272261274,54.899718004,66.8956,67.572759116,106.2536,100.546145,9896.3141667,5617.51,8800,5637,8.9,442695,9.9,2090453,51.7701492,1257.640015,2652.870117,63.4,74.5,3.29,4.71
2011,0,0,61.131901007,48.395368109,66.8956,65.257219415,128.8233,118.474425,10173.019167,5917.4991667,8880,5778,8.1,454861,9.1,2131880,52.0769292,1257.599976,2605.149902,64.8,69.9,1.98,3.96
2012,0,0,67.266305045,59.535979868,66.8956,68.522703427,164.049,151.04515,10337.357857,6013.6328571,14668,9783,6.8,475641,7.8,2209127,60.470291,1426.189941,3019.51001,64.6,72.9,1.72,3.35
2013,0,0,80.59203009,58.927824561,65.2172,81.123791384,189.6384,180.3884,10510.110833,6086.4233333,18686,12816,5.5,489328,6.4,2263436,81.041015,1848.359985,4176.589844,77.5,82.5,2.9,4.46
2014,0,0,94.33353704,73.309094831,71.4068,92.28341754,233.3971,214.276125,10900.84,6233.05,20038,14143,4.4,508518,5.2,2328554,90.821675,2058.899902,4736.049805,93.1,93.6,2.21,3.86
2015,0,0,100,87.234827826,73.5422,100,295.079,270.83435,11166.03,6402.43,19174,12116,3.6,528074,4.3,2399256,90.605425,2043.939941,5007.410156,96.3,92.6,2.24,3.96
